Worker ID,Skill Category,Skill Level,Years of Experience,Current Task Assigned,Shift Availability,Performance Rating,Certifications,Task Skills Required,Task Priority,Workload for Shift
192,Packaging,High,6,Final Testing,Morning,3.9,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
193,Packaging,High,8,Cell Assembly,Night,3.8,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
194,Quality Inspection,Medium,4,Pack Assembly,Night,3.5,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
195,BMS Integration,Medium,4,Pack Assembly,Flexible,3.1,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
196,Automation,High,5,Module Assembly,Evening,4.5,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
197,Mechanical Assembly,High,4,Cell Assembly,Night,4.1,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
198,Soldering,High,7,Final Testing,Evening,3.6,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
199,Packaging,Medium,5,Cell Assembly,Night,3.1,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
200,Welding,High,4,Module Assembly,Evening,3.7,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
201,Quality Inspection,High,8,Final Testing,Night,4.6,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
202,Mechanical Assembly,Medium,7,Final Testing,Morning,4.3,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
203,Welding,Medium,8,Module Assembly,Flexible,3.7,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
204,Quality Inspection,High,3,Cell Assembly,Evening,3.8,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
205,Packaging,High,1,Final Testing,Evening,3.4,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
206,Welding,High,4,Cell Assembly,Flexible,4.6,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
207,Automation,High,6,Pack Assembly,Flexible,3.4,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
208,BMS Integration,Low,3,Cell Assembly,Flexible,3.3,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
209,Mechanical Assembly,High,3,Pack Assembly,Flexible,4.0,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
210,Welding,High,3,Cell Assembly,Evening,4.7,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
211,Automation,Medium,3,Module Assembly,Flexible,4.0,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
212,Mechanical Assembly,Medium,7,Final Testing,Evening,3.4,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
213,Automation,Low,3,Cell Assembly,Evening,3.4,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
214,Mechanical Assembly,Low,2,Final Testing,Flexible,4.6,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
215,Quality Inspection,Medium,6,Module Assembly,Night,4.1,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
216,Electrical Wiring,Low,8,Pack Assembly,Night,3.6,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
217,Robotics,High,3,Module Assembly,Morning,3.5,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
218,Robotics,Medium,8,Module Assembly,Morning,3.8,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
219,Soldering,Low,4,Final Testing,Flexible,3.0,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
220,Mechanical Assembly,Medium,4,Module Assembly,Night,3.3,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
221,Robotics,High,1,Pack Assembly,Flexible,3.6,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
222,Soldering,Medium,1,Cell Assembly,Flexible,4.0,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
223,Welding,High,6,Cell Assembly,Evening,4.8,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
224,Robotics,High,3,Cell Assembly,Morning,5.0,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
225,Mechanical Assembly,Low,5,Module Assembly,Morning,3.5,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
226,Mechanical Assembly,Low,4,Final Testing,Flexible,4.3,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
227,Automation,High,8,Cell Assembly,Evening,4.5,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
228,Automation,Low,2,Module Assembly,Evening,3.8,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
229,Automation,High,2,Pack Assembly,Evening,4.0,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
230,Electrical Wiring,Medium,6,Cell Assembly,Evening,4.0,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
231,Electrical Wiring,Medium,1,Module Assembly,Morning,3.7,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
232,Packaging,Low,3,Final Testing,Night,3.7,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
233,Packaging,High,8,Pack Assembly,Flexible,4.8,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
234,Quality Inspection,High,3,Final Testing,Evening,4.6,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
235,BMS Integration,Low,1,Final Testing,Morning,4.2,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
236,Automation,Low,1,Cell Assembly,Night,3.1,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
237,Robotics,High,3,Module Assembly,Flexible,3.0,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
238,BMS Integration,High,3,Cell Assembly,Evening,3.9,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
239,BMS Integration,Low,8,Pack Assembly,Morning,4.8,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
240,Quality Inspection,High,4,Cell Assembly,Evening,4.9,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
241,Automation,High,8,Cell Assembly,Morning,4.2,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
242,Electrical Wiring,Low,8,Pack Assembly,Morning,3.2,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
243,Welding,Low,5,Module Assembly,Evening,4.8,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
244,Electrical Wiring,Low,5,Final Testing,Evening,4.5,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
245,Robotics,Low,2,Module Assembly,Flexible,3.4,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
246,Quality Inspection,Low,8,Pack Assembly,Flexible,3.8,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
247,BMS Integration,Low,3,Module Assembly,Flexible,4.6,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
248,Soldering,High,4,Cell Assembly,Evening,3.0,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
249,Soldering,High,2,Final Testing,Night,3.4,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
250,Robotics,Medium,4,Module Assembly,Night,4.1,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
251,Soldering,High,3,Cell Assembly,Flexible,4.1,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
252,Robotics,High,4,Pack Assembly,Evening,4.3,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
253,Mechanical Assembly,High,7,Module Assembly,Evening,3.5,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
254,Robotics,Low,7,Module Assembly,Night,3.9,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
255,Electrical Wiring,Medium,5,Module Assembly,Flexible,4.9,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
256,BMS Integration,High,7,Cell Assembly,Night,4.1,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
257,Packaging,Low,3,Module Assembly,Flexible,3.1,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
258,Electrical Wiring,Low,6,Pack Assembly,Night,4.7,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
259,Soldering,Medium,6,Final Testing,Evening,4.9,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
260,Robotics,High,5,Final Testing,Night,4.4,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
261,Mechanical Assembly,Medium,5,Cell Assembly,Night,4.5,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
262,Robotics,High,1,Cell Assembly,Evening,3.3,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
263,Soldering,Medium,1,Module Assembly,Night,3.5,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
264,Quality Inspection,High,1,Pack Assembly,Night,3.7,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
265,Electrical Wiring,High,1,Cell Assembly,Night,4.9,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
266,Quality Inspection,Medium,4,Pack Assembly,Evening,4.4,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
267,Packaging,Low,6,Module Assembly,Evening,5.0,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
268,Robotics,High,2,Final Testing,Evening,4.1,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
269,BMS Integration,Medium,8,Pack Assembly,Evening,3.7,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
270,Robotics,High,6,Cell Assembly,Night,3.7,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
271,Welding,Medium,6,Cell Assembly,Evening,3.5,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
272,Mechanical Assembly,High,3,Cell Assembly,Night,3.0,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
273,BMS Integration,High,7,Pack Assembly,Evening,3.9,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
274,Quality Inspection,High,2,Module Assembly,Night,3.9,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
275,Quality Inspection,High,1,Module Assembly,Morning,3.4,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
276,Packaging,Low,8,Final Testing,Morning,4.3,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
277,Electrical Wiring,High,5,Module Assembly,Evening,3.6,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
278,Mechanical Assembly,High,2,Pack Assembly,Flexible,4.8,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
279,Mechanical Assembly,High,6,Final Testing,Evening,4.6,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
280,Electrical Wiring,Low,8,Module Assembly,Evening,4.4,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
281,Packaging,High,5,Pack Assembly,Evening,4.1,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
282,Soldering,High,6,Module Assembly,Evening,4.8,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
283,Mechanical Assembly,Low,6,Module Assembly,Flexible,4.0,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
284,Robotics,High,1,Cell Assembly,Evening,4.6,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
285,Automation,High,7,Cell Assembly,Morning,4.4,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
286,Quality Inspection,Medium,1,Pack Assembly,Night,4.5,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
287,BMS Integration,Low,3,Final Testing,Night,3.7,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
288,Electrical Wiring,Low,8,Final Testing,Flexible,4.3,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
289,Quality Inspection,Medium,1,Final Testing,Flexible,4.7,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
290,Welding,High,2,Cell Assembly,Night,4.2,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
291,Electrical Wiring,Low,7,Cell Assembly,Evening,4.6,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
292,Quality Inspection,Low,8,Pack Assembly,Evening,4.5,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
293,Mechanical Assembly,Low,5,Final Testing,Morning,5.0,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
294,BMS Integration,Low,5,Cell Assembly,Morning,4.3,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
295,Robotics,High,2,Final Testing,Evening,5.0,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
296,Automation,Medium,4,Final Testing,Morning,3.7,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
297,Robotics,High,3,Cell Assembly,Evening,4.0,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
298,BMS Integration,Medium,8,Pack Assembly,Flexible,4.9,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
299,Soldering,Low,6,Module Assembly,Flexible,4.3,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
300,Electrical Wiring,Low,3,Final Testing,Night,4.2,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
301,Automation,Low,4,Pack Assembly,Evening,4.0,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
302,Electrical Wiring,Medium,2,Final Testing,Evening,3.3,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
303,Robotics,High,8,Cell Assembly,Evening,4.4,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
304,Soldering,High,4,Pack Assembly,Flexible,4.0,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
305,Automation,High,5,Module Assembly,Night,3.1,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
306,Robotics,Medium,3,Pack Assembly,Evening,3.6,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
307,Welding,Low,5,Final Testing,Evening,4.4,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
308,Welding,Medium,1,Final Testing,Morning,4.9,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
309,Automation,High,4,Module Assembly,Flexible,4.6,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
310,Quality Inspection,Medium,2,Module Assembly,Evening,4.0,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
311,Robotics,Medium,8,Final Testing,Morning,4.1,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
312,BMS Integration,High,4,Cell Assembly,Evening,4.6,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
313,Packaging,High,7,Cell Assembly,Morning,3.6,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
314,Mechanical Assembly,High,6,Pack Assembly,Night,3.6,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
315,Welding,Low,8,Module Assembly,Night,3.9,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
316,Automation,Low,4,Cell Assembly,Flexible,3.6,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
317,BMS Integration,High,3,Module Assembly,Evening,4.7,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
318,Soldering,High,5,Final Testing,Morning,5.0,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
319,Soldering,Medium,4,Final Testing,Evening,4.1,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
320,Automation,High,6,Final Testing,Flexible,4.5,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
321,BMS Integration,Medium,8,Pack Assembly,Evening,4.1,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
322,Packaging,High,7,Pack Assembly,Evening,3.7,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
323,Welding,Low,5,Pack Assembly,Morning,3.9,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
324,Welding,High,8,Final Testing,Morning,3.4,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
325,Mechanical Assembly,Low,8,Module Assembly,Flexible,4.9,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
326,Quality Inspection,Medium,3,Pack Assembly,Morning,3.2,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
327,BMS Integration,Medium,8,Module Assembly,Morning,4.6,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
328,Robotics,Low,2,Module Assembly,Evening,3.5,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
329,Soldering,High,1,Module Assembly,Flexible,3.7,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
330,Welding,Medium,6,Module Assembly,Morning,3.0,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
331,Quality Inspection,Low,1,Pack Assembly,Morning,4.9,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
332,Soldering,Medium,5,Final Testing,Evening,3.4,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
333,Welding,Medium,2,Final Testing,Morning,4.2,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
334,Mechanical Assembly,Low,5,Cell Assembly,Night,4.2,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
335,Packaging,High,8,Pack Assembly,Night,3.0,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
336,Electrical Wiring,High,8,Module Assembly,Morning,4.9,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
337,Soldering,High,5,Cell Assembly,Evening,4.9,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
338,Electrical Wiring,High,2,Module Assembly,Evening,3.9,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
339,Electrical Wiring,High,2,Final Testing,Morning,4.6,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
340,Electrical Wiring,Low,6,Cell Assembly,Night,3.9,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
341,Robotics,Low,4,Final Testing,Night,4.5,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
342,Mechanical Assembly,Medium,2,Module Assembly,Flexible,3.6,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
343,Quality Inspection,Low,8,Cell Assembly,Night,4.8,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
344,BMS Integration,Low,7,Pack Assembly,Morning,3.2,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
345,Welding,Medium,6,Module Assembly,Evening,4.9,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
346,Mechanical Assembly,High,7,Module Assembly,Night,4.6,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
347,Packaging,Medium,5,Final Testing,Morning,3.4,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
348,Welding,Low,6,Final Testing,Night,3.6,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
349,Mechanical Assembly,Low,6,Final Testing,Evening,3.2,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
350,Soldering,High,6,Cell Assembly,Morning,4.5,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
351,Welding,Low,1,Pack Assembly,Evening,4.2,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
352,Mechanical Assembly,High,4,Module Assembly,Night,4.0,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
353,Welding,High,4,Final Testing,Morning,3.0,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
354,Electrical Wiring,High,7,Cell Assembly,Morning,3.9,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
355,Soldering,Low,7,Pack Assembly,Evening,3.4,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
356,Robotics,Medium,3,Pack Assembly,Night,3.2,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
357,BMS Integration,Medium,2,Module Assembly,Morning,4.9,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
358,Mechanical Assembly,Low,7,Module Assembly,Morning,4.7,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
359,Mechanical Assembly,High,8,Cell Assembly,Morning,3.8,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
360,Packaging,Medium,2,Module Assembly,Night,3.1,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
361,Soldering,Low,5,Pack Assembly,Night,3.4,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
362,Electrical Wiring,High,5,Cell Assembly,Night,4.0,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
363,Packaging,Medium,1,Module Assembly,Morning,3.8,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
364,Automation,High,8,Pack Assembly,Morning,3.5,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
365,Robotics,Low,7,Module Assembly,Morning,3.1,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
366,Automation,Medium,3,Pack Assembly,Flexible,4.6,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
367,Automation,Medium,5,Final Testing,Night,4.7,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
368,Electrical Wiring,Low,4,Final Testing,Flexible,4.8,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
369,Packaging,Low,6,Final Testing,Night,4.6,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
370,Mechanical Assembly,Medium,6,Final Testing,Evening,3.5,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
371,Quality Inspection,Low,4,Final Testing,Flexible,3.8,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
372,Electrical Wiring,Low,5,Pack Assembly,Evening,4.2,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
373,Robotics,Low,3,Pack Assembly,Flexible,3.2,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
374,Welding,High,5,Cell Assembly,Night,4.2,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
375,Soldering,Low,8,Final Testing,Evening,3.1,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
376,Electrical Wiring,Low,2,Final Testing,Flexible,4.4,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
377,Packaging,Low,7,Module Assembly,Flexible,4.6,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
378,Quality Inspection,High,5,Cell Assembly,Night,3.8,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
379,Robotics,Low,8,Module Assembly,Night,4.3,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
380,Welding,Low,4,Module Assembly,Flexible,4.5,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
381,Mechanical Assembly,Medium,1,Final Testing,Flexible,4.2,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
382,Mechanical Assembly,High,4,Cell Assembly,Evening,4.1,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
383,Electrical Wiring,Medium,3,Cell Assembly,Night,4.6,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
